pendTertinggi,tahun,angKerja,bknAngKerja
Tdk/Blm Sekolah,2016,9059,21950
Tdk/Blm Sekolah,2017,3731,1335
Tdk/Blm Sekolah,2018,6851,3827
Tdk/Blm Sekolah,2019,3282,4791
Tdk/Blm Sekolah,2020,0,0
Tdk/Blm Tamat SD,2016,253953,219595
Tdk/Blm Tamat SD,2017,136988,46362
Tdk/Blm Tamat SD,2018,90979,48754
Tdk/Blm Tamat SD,2019,91881,39582
Tdk/Blm Tamat SD,2020,74570,33232
SD,2016,637367,330360
SD,2017,348128,98558
SD,2018,319917,82494
SD,2019,329955,104307
SD,2020,377428,108297
SMP,2016,757716,674931
SMP,2017,473399,273953
SMP,2018,482863,233961
SMP,2019,553382,230220
SMP,2020,531499,262036
SMA,2016,1281314,596324
SMA,2017,775301,228802
SMA,2018,827164,227660
SMA,2019,900208,194881
SMA,2020,847108,199025
SMK,2016,1022245,357549
SMK,2017,683272,95152
SMK,2018,681172,70113
SMK,2019,759944,73729
SMK,2020,843463,98896
Diploma I/II/III,2016,226451,86329
Diploma I/II/III,2017,131907,28332
Diploma I/II/III,2018,149276,36838
Diploma I/II/III,2019,131790,21497
Diploma I/II/III,2020,139482,26759
Universitas,2016,990734,274008
Universitas,2017,512593,68013
Universitas,2018,563786,98132
Universitas,2019,466157,51680
Universitas,2020,452067,63356
